name,playerID,gameID,season,week,team,teamID,opponent,opponentID,rushingAttempts,rushingYards,yardsPerRushAttempt,rushingTouchdowns,longRushing,receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,fumbles,fumblesLost
Ameer Abdullah,2576336,401437824,2022,9,LV,13,JAX,30,0,0,0.0,0,0,1,3,8,8.0,0,8,0,0
Ameer Abdullah,2576336,401437840,2022,10,LV,13,IND,11,0,0,0.0,0,0,4,4,33,8.3,0,14,0,0
Ameer Abdullah,2576336,401326575,2021,17,CAR,29,NO,18,6,21,3.5,0,15,4,4,31,7.8,0,17,0,0
Ameer Abdullah,2576336,401326596,2021,18,CAR,29,TB,27,7,26,3.7,0,10,9,11,56,6.2,0,18,0,0
Ameer Abdullah,2576336,401326453,2021,9,CAR,29,NE,17,1,0,0.0,0,0,4,5,30,7.5,0,12,0,0
Ameer Abdullah,2576336,401326376,2021,3,MIN,16,SEA,26,5,24,4.8,0,9,0,0,0,0.0,0,0,0,0
Ameer Abdullah,2576336,401220301,2020,6,MIN,16,ATL,1,2,7,3.5,0,4,1,1,1,1.0,0,1,0,0
Ameer Abdullah,2576336,401128093,2019,4,MIN,16,CHI,3,0,0,0.0,0,0,2,3,14,7.0,0,8,0,0
Ameer Abdullah,2576336,401131040,2019,2,MIN,16,SF,25,0,0,0.0,0,0,1,1,7,7.0,0,7,0,0
Ameer Abdullah,2576336,400951563,2017,10,DET,8,CLE,5,11,52,4.7,1,20,1,2,3,3.0,0,3,0,0
Ameer Abdullah,2576336,400951741,2017,17,DET,8,GB,9,8,18,2.3,1,7,1,2,11,11.0,0,11,0,0
Ameer Abdullah,2576336,400951576,2017,1,DET,8,ARI,22,15,30,2.0,0,7,3,4,11,3.7,0,6,0,0
Ameer Abdullah,2576336,400951621,2017,16,DET,8,CIN,4,6,21,3.5,0,6,1,2,5,5.0,0,5,0,0
Ameer Abdullah,2576336,400951569,2017,12,DET,8,MIN,16,6,14,2.3,0,5,3,5,29,9.7,0,18,0,0
Ameer Abdullah,2576336,400951701,2017,11,DET,8,CHI,3,11,22,2.0,0,11,2,2,13,6.5,1,11,0,0
Ameer Abdullah,2576336,400951558,2017,5,DET,8,CAR,29,10,31,3.1,0,16,1,1,3,3.0,0,3,0,0
Ameer Abdullah,2576336,400951768,2017,15,DET,8,CHI,3,1,8,8.0,0,8,3,4,13,4.3,0,11,0,0
Ameer Abdullah,2576336,400951724,2017,4,DET,8,MIN,16,20,94,4.7,1,29,3,4,15,5.0,0,8,0,0
Ameer Abdullah,2576336,400951736,2017,8,DET,8,PIT,23,11,27,2.5,0,8,3,3,11,3.7,0,8,0,0
Ameer Abdullah,2576336,400951704,2017,6,DET,8,NO,18,14,54,3.9,0,34,0,2,0,0.0,0,0,0,0
Ameer Abdullah,2576336,400951790,2017,9,DET,8,GB,9,21,48,2.3,1,11,1,1,9,9.0,0,9,2,1
Ameer Abdullah,2576336,400951681,2017,2,DET,8,NYG,19,17,86,5.1,0,34,0,0,0,0.0,0,0,0,0
Ameer Abdullah,2576336,400951594,2017,3,DET,8,ATL,1,14,47,3.4,0,11,3,3,39,13.0,0,22,0,0
Ameer Abdullah,2576336,400874573,2016,1,DET,8,IND,11,12,63,5.3,0,13,5,5,57,11.4,1,18,0,0
Ameer Abdullah,2576336,400874488,2016,2,DET,8,TEN,10,6,38,6.3,0,24,0,0,0,0.0,0,0,0,0
