name,playerID,gameID,season,week,team,teamID,opponent,opponentID,receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost
Jordan Akins,3128452,401437800,2022,7,HOU,34,LV,13,3,4,68,22.7,0,39,0,0,0.0,0,0,0,0
Jordan Akins,3128452,401437878,2022,13,HOU,34,CLE,5,3,6,21,7.0,0,11,0,0,0.0,0,0,0,0
Jordan Akins,3128452,401437813,2022,8,HOU,34,TEN,10,1,2,5,5.0,0,5,0,0,0.0,0,0,0,0
Jordan Akins,3128452,401437863,2022,12,HOU,34,MIA,15,5,5,61,12.2,1,25,0,0,0.0,0,0,1,1
Jordan Akins,3128452,401437753,2022,4,HOU,34,LAC,24,2,2,33,16.5,0,30,0,0,0.0,0,0,0,0
Jordan Akins,3128452,401437765,2022,5,HOU,34,JAX,30,2,2,22,11.0,0,11,0,0,0.0,0,0,0,0
Jordan Akins,3128452,401437891,2022,14,HOU,34,DAL,6,1,2,5,5.0,0,5,0,0,0.0,0,0,0,0
Jordan Akins,3128452,401437819,2022,9,HOU,34,PHI,21,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0
Jordan Akins,3128452,401437737,2022,3,HOU,34,CHI,3,3,4,31,10.3,1,25,0,0,0.0,0,0,0,0
Jordan Akins,3128452,401437848,2022,11,HOU,34,WSH,28,2,3,8,4.0,0,8,0,0,0.0,0,0,0,0
Jordan Akins,3128452,401437837,2022,10,HOU,34,NYG,19,3,3,72,24.0,0,46,0,0,0.0,0,0,0,0
Jordan Akins,3128452,401326432,2021,7,HOU,34,ARI,22,2,2,13,6.5,0,8,0,0,0.0,0,0,0,0
Jordan Akins,3128452,401326442,2021,8,HOU,34,LAR,14,5,5,53,10.6,0,31,0,0,0.0,0,0,0,0
Jordan Akins,3128452,401326398,2021,5,HOU,34,NE,17,2,2,17,8.5,0,9,0,0,0.0,0,0,0,0
Jordan Akins,3128452,401326310,2021,1,HOU,34,JAX,30,0,2,0,0.0,0,0,0,0,0.0,0,0,0,0
Jordan Akins,3128452,401326545,2021,15,HOU,34,JAX,30,2,3,24,12.0,0,18,0,0,0.0,0,0,0,0
Jordan Akins,3128452,401326457,2021,9,HOU,34,MIA,15,2,3,7,3.5,0,4,0,0,0.0,0,0,1,1
Jordan Akins,3128452,401326559,2021,16,HOU,34,LAC,24,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0
Jordan Akins,3128452,401326415,2021,6,HOU,34,IND,11,4,6,41,10.3,0,13,0,0,0.0,0,0,0,0
Jordan Akins,3128452,401326527,2021,14,HOU,34,SEA,26,1,1,6,6.0,0,6,0,0,0.0,0,0,0,0
Jordan Akins,3128452,401220279,2020,14,HOU,34,CHI,3,3,6,20,6.7,0,8,0,0,0.0,0,0,0,0
Jordan Akins,3128452,401220225,2020,1,HOU,34,KC,12,2,2,39,19.5,1,20,0,0,0.0,0,0,0,0
Jordan Akins,3128452,401220194,2020,9,HOU,34,JAX,30,2,4,19,9.5,0,10,0,0,0.0,0,0,0,0
Jordan Akins,3128452,401220182,2020,16,HOU,34,CIN,4,4,4,39,9.8,0,15,0,0,0.0,0,0,0,0
Jordan Akins,3128452,401220185,2020,11,HOU,34,NE,17,5,6,83,16.6,0,25,0,0,0.0,0,0,0,0
Jordan Akins,3128452,401220184,2020,4,HOU,34,MIN,16,3,3,46,15.3,0,26,0,0,0.0,0,0,0,0
Jordan Akins,3128452,401220173,2020,3,HOU,34,PIT,23,2,3,28,14.0,0,20,0,0,0.0,0,0,0,0
Jordan Akins,3128452,401220165,2020,10,HOU,34,CLE,5,1,1,5,5.0,0,5,0,0,0.0,0,0,0,0
Jordan Akins,3128452,401220186,2020,15,HOU,34,IND,11,5,6,50,10.0,0,20,0,0,0.0,0,0,0,0
Jordan Akins,3128452,401220178,2020,13,HOU,34,IND,11,2,3,10,5.0,0,9,0,0,0.0,0,0,0,0
Jordan Akins,3128452,401220287,2020,12,HOU,34,DET,8,0,2,0,0.0,0,0,1,4,4.0,4,0,0,0
Jordan Akins,3128452,401220181,2020,2,HOU,34,BAL,33,7,7,55,7.9,0,12,0,0,0.0,0,0,0,0
Jordan Akins,3128452,401220180,2020,17,HOU,34,TEN,10,1,2,9,9.0,0,9,0,0,0.0,0,0,0,0
Jordan Akins,3128452,401030864,2018,16,HOU,34,PHI,21,2,3,33,16.5,0,22,0,0,0.0,0,0,0,0
Jordan Akins,3128452,401030831,2018,5,HOU,34,DAL,6,1,2,9,9.0,0,9,0,0,0.0,0,0,0,0
Jordan Akins,3128452,401030964,2018,13,HOU,34,CLE,5,1,1,13,13.0,0,13,0,0,0.0,0,0,0,0
Jordan Akins,3128452,401030843,2018,4,HOU,34,IND,11,2,3,24,12.0,0,14,0,0,0.0,0,0,0,0
Jordan Akins,3128452,401030762,2018,12,HOU,34,TEN,10,1,1,8,8.0,0,8,0,0,0.0,0,0,0,0
Mo Alie-Cox,2998565,401437637,2022,1,IND,11,HOU,34,2,2,26,13.0,0,13,0,0,0.0,0,0,0,0
Mo Alie-Cox,2998565,401437872,2022,12,IND,11,PIT,23,2,3,14,7.0,0,11,0,0,0.0,0,0,0,0
Mo Alie-Cox,2998565,401437762,2022,5,IND,11,DEN,7,1,1,7,7.0,0,7,0,0,0.0,0,0,0,0
Mo Alie-Cox,2998565,401326443,2021,8,IND,11,TEN,10,0,4,0,0.0,0,0,0,0,0.0,0,0,0,0
Mo Alie-Cox,2998565,401326555,2021,16,IND,11,ARI,22,2,4,42,21.0,0,37,0,0,0.0,0,0,0,0
Mo Alie-Cox,2998565,401326467,2021,10,IND,11,JAX,30,1,2,6,6.0,0,6,0,0,0.0,0,0,0,0
Mo Alie-Cox,2998565,401326434,2021,7,IND,11,SF,25,3,3,25,8.3,1,11,0,0,0.0,0,0,0,0
Mo Alie-Cox,2998565,401326499,2021,12,IND,11,TB,27,1,2,8,8.0,0,8,0,0,0.0,0,0,0,0
Mo Alie-Cox,2998565,401326514,2021,13,IND,11,HOU,34,1,1,0,0.0,0,0,0,0,0.0,0,0,0,0
Mo Alie-Cox,2998565,401326415,2021,6,IND,11,HOU,34,1,3,28,28.0,1,28,0,0,0.0,0,0,0,0
Mo Alie-Cox,2998565,401326318,2021,1,IND,11,SEA,26,0,2,0,0.0,0,0,0,0,0.0,0,0,0,0
Mo Alie-Cox,2998565,401326409,2021,5,IND,11,BAL,33,3,4,50,16.7,0,24,0,0,0.0,0,0,0,0
Mo Alie-Cox,2998565,401326591,2021,18,IND,11,JAX,30,2,3,27,13.5,0,18,0,0,0.0,0,0,0,0
Mo Alie-Cox,2998565,401326480,2021,11,IND,11,BUF,2,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0
Mo Alie-Cox,2998565,401326384,2021,4,IND,11,MIA,15,3,5,42,14.0,2,28,0,0,0.0,0,0,0,0
Mo Alie-Cox,2998565,401326131,2021,2,IND,11,LAR,14,1,2,18,18.0,0,18,0,0,0.0,0,0,0,0
Mo Alie-Cox,2998565,401326372,2021,3,IND,11,TEN,10,2,2,14,7.0,0,11,0,0,0.0,0,0,0,0
Mo Alie-Cox,2998565,401326573,2021,17,IND,11,LV,13,3,5,28,9.3,0,17,0,0,0.0,0,0,1,0
Mo Alie-Cox,2998565,401326540,2021,15,IND,11,NE,17,0,1,0,0.0,0,0,0,0,0.0,0,0,0,0
Mo Alie-Cox,2998565,401326451,2021,9,IND,11,NYJ,20,1,1,28,28.0,0,28,0,0,0.0,0,0,0,0
Mo Alie-Cox,2998565,401220203,2020,10,IND,11,TEN,10,3,4,19,6.3,0,11,0,0,0.0,0,0,0,0
Mo Alie-Cox,2998565,401220193,2020,3,IND,11,NYJ,20,3,3,50,16.7,1,45,0,0,0.0,0,0,0,0
Mo Alie-Cox,2998565,401220174,2020,16,IND,11,PIT,23,1,1,20,20.0,0,20,0,0,0.0,0,0,0,0
Mo Alie-Cox,2998565,401220393,2020,1,IND,11,BUF,2,4,4,32,8.0,0,16,0,0,0.0,0,0,0,0
