name,playerID,gameID,season,week,team,teamID,opponent,opponentID,receptions,receivingTargets,receivingYards,yardsPerReception,receivingTouchdowns,longReception,rushingAttempts,rushingYards,yardsPerRushAttempt,longRushing,rushingTouchdowns,fumbles,fumblesLost
Davante Adams,16800,401437824,2022,9,LV,13,JAX,30,10,17,146,14.6,2,38,0,0,0.0,0,0,0,0
Davante Adams,16800,401437840,2022,10,LV,13,IND,11,9,14,126,14.0,1,48,0,0,0.0,0,0,0,0
Davante Adams,16800,401437741,2022,3,LV,13,TEN,10,5,10,36,7.2,1,18,1,-4,-4.0,-4,0,0,0
Davante Adams,16800,401437642,2022,2,LV,13,ARI,22,2,7,12,6.0,1,11,0,0,0.0,0,0,0,0
Davante Adams,16800,401437885,2022,13,LV,13,LAC,24,8,12,177,22.1,2,45,0,0,0.0,0,0,0,0
Davante Adams,16800,401437643,2022,1,LV,13,LAC,24,10,17,141,14.1,1,41,0,0,0.0,0,0,0,0
Davante Adams,16800,401437853,2022,11,LV,13,DEN,7,7,13,141,20.1,2,35,0,0,0.0,0,0,0,0
Davante Adams,16800,401437776,2022,5,LV,13,KC,12,3,7,124,41.3,2,58,0,0,0.0,0,0,1,0
Davante Adams,16800,401437760,2022,4,LV,13,DEN,7,9,13,101,11.2,0,20,1,4,4.0,4,0,0,0
Davante Adams,16800,401326476,2021,10,GB,9,SEA,26,7,11,78,11.1,0,34,0,0,0.0,0,0,0,0
Davante Adams,16800,401326377,2021,3,GB,9,SF,25,12,18,132,11.0,1,25,0,0,0.0,0,0,0,0
Davante Adams,16800,401326631,2021,2,GB,9,SF,25,9,11,90,10.0,0,25,0,0,0.0,0,0,0,0
Davante Adams,16800,401326554,2021,16,GB,9,CLE,5,10,13,114,11.4,2,33,0,0,0.0,0,0,0,0
Davante Adams,16800,401326543,2021,15,GB,9,BAL,33,6,7,44,7.3,1,16,0,0,0.0,0,0,0,0
Davante Adams,16800,401326535,2021,14,GB,9,CHI,3,10,13,121,12.1,2,38,0,0,0.0,0,0,0,0
Davante Adams,16800,401326425,2021,7,GB,9,WSH,28,6,7,76,12.7,1,26,0,0,0.0,0,0,0,0
Davante Adams,16800,401326589,2021,18,GB,9,DET,8,6,7,55,9.2,0,16,0,0,0.0,0,0,0,0
Davante Adams,16800,401326413,2021,6,GB,9,CHI,3,4,5,89,22.3,0,41,0,0,0.0,0,0,0,0
Davante Adams,16800,401326319,2021,1,GB,9,NO,18,5,7,56,11.2,0,31,0,0,0.0,0,0,0,0
Davante Adams,16800,401326505,2021,12,GB,9,LAR,14,8,9,104,13.0,0,43,0,0,0.0,0,0,0,0
Davante Adams,16800,401326392,2021,4,GB,9,PIT,23,6,11,64,10.7,0,21,0,0,0.0,0,0,0,0
Davante Adams,16800,401326461,2021,9,GB,9,KC,12,6,14,42,7.0,0,14,0,0,0.0,0,0,0,0
